icd10_code,icd10_title,icd11_code,icd11_title,foundation_uri,linearization_uri
I52.0,Other heart disorders in bacterial diseases classified elsewhere,BE2Z,"Diseases of the circulatory system, unspecified",http://id.who.int/icd/entity/1512587470,http://id.who.int/icd/release/11/2022-02/mms/426429380/unspecified
I52.1,Other heart disorders in other infectious and parasitic diseases classified elsewhere,BE2Z,"Diseases of the circulatory system, unspecified",http://id.who.int/icd/entity/1512587470,http://id.who.int/icd/release/11/2022-02/mms/426429380/unspecified
I52.8,Other heart disorders in other diseases classified elsewhere,BE2Z,"Diseases of the circulatory system, unspecified",http://id.who.int/icd/entity/1512587470,http://id.who.int/icd/release/11/2022-02/mms/426429380/unspecified
I60-I69,Cerebrovascular diseases,8B2Z,"Cerebrovascular diseases, unspecified",http://id.who.int/icd/entity/843843448,http://id.who.int/icd/release/11/2022-02/mms/843843448/unspecified
I60,Subarachnoid haemorrhage,8B01,Subarachnoid haemorrhage,http://id.who.int/icd/entity/1363253283,http://id.who.int/icd/release/11/2022-02/mms/1363253283
I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation,8B01.0,Aneurysmal subarachnoid haemorrhage,http://id.who.int/icd/entity/1332967677,http://id.who.int/icd/release/11/2022-02/mms/958976948
I60.1,Subarachnoid haemorrhage from middle cerebral artery,8B01.0,Aneurysmal subarachnoid haemorrhage,http://id.who.int/icd/entity/708359529,http://id.who.int/icd/release/11/2022-02/mms/958976948
I60.2,Subarachnoid haemorrhage from anterior communicating artery,8B01.0,Aneurysmal subarachnoid haemorrhage,http://id.who.int/icd/entity/1586881944,http://id.who.int/icd/release/11/2022-02/mms/958976948
I60.3,Subarachnoid haemorrhage from posterior communicating artery,8B01.0,Aneurysmal subarachnoid haemorrhage,http://id.who.int/icd/entity/1004414978,http://id.who.int/icd/release/11/2022-02/mms/958976948
I60.4,Subarachnoid haemorrhage from basilar artery,8B01.0,Aneurysmal subarachnoid haemorrhage,http://id.who.int/icd/entity/1211153302,http://id.who.int/icd/release/11/2022-02/mms/958976948
I60.5,Subarachnoid haemorrhage from vertebral artery,8B01.0,Aneurysmal subarachnoid haemorrhage,http://id.who.int/icd/entity/763065860,http://id.who.int/icd/release/11/2022-02/mms/958976948
I60.6,Subarachnoid haemorrhage from other intracranial arteries,8B01.0,Aneurysmal subarachnoid haemorrhage,http://id.who.int/icd/entity/1507206909,http://id.who.int/icd/release/11/2022-02/mms/958976948
I60.7,"Subarachnoid haemorrhage from intracranial artery, unspecified",8B01.0,Aneurysmal subarachnoid haemorrhage,http://id.who.int/icd/entity/1507206909,http://id.who.int/icd/release/11/2022-02/mms/958976948
I60.8,Other subarachnoid haemorrhage,8B01,Subarachnoid haemorrhage,http://id.who.int/icd/entity/1363253283,http://id.who.int/icd/release/11/2022-02/mms/1363253283
I60.9,"Subarachnoid haemorrhage, unspecified",8B01,Subarachnoid haemorrhage,http://id.who.int/icd/entity/1363253283,http://id.who.int/icd/release/11/2022-02/mms/1363253283
I61,Intracerebral haemorrhage,8B00.Z,"Intracerebral haemorrhage, site unspecified",http://id.who.int/icd/entity/873092535,http://id.who.int/icd/release/11/2022-02/mms/873092535/unspecified
I61.0,"Intracerebral haemorrhage in hemisphere, subcortical",8B00.0,Deep hemispheric haemorrhage,http://id.who.int/icd/entity/1401663614,http://id.who.int/icd/release/11/2022-02/mms/1401663614
I61.1,"Intracerebral haemorrhage in hemisphere, cortical",8B00.1,Lobar haemorrhage,http://id.who.int/icd/entity/918584808,http://id.who.int/icd/release/11/2022-02/mms/918584808
I61.2,"Intracerebral haemorrhage in hemisphere, unspecified",8B00.Z,"Intracerebral haemorrhage, site unspecified",http://id.who.int/icd/entity/873092535,http://id.who.int/icd/release/11/2022-02/mms/873092535/unspecified
I61.3,Intracerebral haemorrhage in brain stem,8B00.2,Brainstem haemorrhage,http://id.who.int/icd/entity/656859267,http://id.who.int/icd/release/11/2022-02/mms/656859267
I61.4,Intracerebral haemorrhage in cerebellum,8B00.3,Cerebellar haemorrhage,http://id.who.int/icd/entity/1422422807,http://id.who.int/icd/release/11/2022-02/mms/1422422807
I61.5,"Intracerebral haemorrhage, intraventricular",8B00.4,Intraventricular haemorrhage without parenchymal haemorrhage,http://id.who.int/icd/entity/830717571,http://id.who.int/icd/release/11/2022-02/mms/830717571
I61.6,"Intracerebral haemorrhage, multiple localized",8B00.5,Haemorrhage of multiple sites,http://id.who.int/icd/entity/1160703612,http://id.who.int/icd/release/11/2022-02/mms/1160703612
I61.8,Other intracerebral haemorrhage,8B00.Z,"Intracerebral haemorrhage, site unspecified",http://id.who.int/icd/entity/873092535,http://id.who.int/icd/release/11/2022-02/mms/873092535/unspecified
I61.9,"Intracerebral haemorrhage, unspecified",8B00.Z,"Intracerebral haemorrhage, site unspecified",http://id.who.int/icd/entity/873092535,http://id.who.int/icd/release/11/2022-02/mms/873092535/unspecified
I62,Other nontraumatic intracranial haemorrhage,8B0Z,"Intracranial haemorrhage, unspecified",http://id.who.int/icd/entity/1990827977,http://id.who.int/icd/release/11/2022-02/mms/1990827977/unspecified
I62.0,Nontraumatic subdural haemorrhage,8B02,Nontraumatic subdural haemorrhage,http://id.who.int/icd/entity/1376522306,http://id.who.int/icd/release/11/2022-02/mms/1376522306
I62.1,Nontraumatic extradural haemorrhage,8B03,Nontraumatic epidural haemorrhage,http://id.who.int/icd/entity/927456728,http://id.who.int/icd/release/11/2022-02/mms/927456728
I62.9,"Intracranial haemorrhage (nontraumatic), unspecified",8B0Z,"Intracranial haemorrhage, unspecified",http://id.who.int/icd/entity/1990827977,http://id.who.int/icd/release/11/2022-02/mms/1990827977/unspecified
I63,Cerebral infarction,8B11,Cerebral ischaemic stroke,http://id.who.int/icd/entity/636274910,http://id.who.int/icd/release/11/2022-02/mms/636274910
I63.0,Cerebral infarction due to thrombosis of precerebral arteries,8B11.0,Cerebral ischaemic stroke due to extracranial large artery atherosclerosis,http://id.who.int/icd/entity/1070137396,http://id.who.int/icd/release/11/2022-02/mms/1070137396
I63.1,Cerebral infarction due to embolism of precerebral arteries,8B11.2Z,"Cerebral ischaemic stroke due to embolic occlusion, unspecified",http://id.who.int/icd/entity/158815303,http://id.who.int/icd/release/11/2022-02/mms/158815303/unspecified
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,8B11.50,Cerebral ischaemic stroke due to unspecified occlusion or stenosis of extracranial large artery,http://id.who.int/icd/entity/1035303911,http://id.who.int/icd/release/11/2022-02/mms/1035303911
I63.3,Cerebral infarction due to thrombosis of cerebral arteries,8B11.1,Cerebral ischaemic stroke due to intracranial large artery atherosclerosis,http://id.who.int/icd/entity/1371457,http://id.who.int/icd/release/11/2022-02/mms/1371457
I63.4,Cerebral infarction due to embolism of cerebral arteries,8B11.2Z,"Cerebral ischaemic stroke due to embolic occlusion, unspecified",http://id.who.int/icd/entity/158815303,http://id.who.int/icd/release/11/2022-02/mms/158815303/unspecified
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,8B11.51,Cerebral ischaemic stroke due to unspecified occlusion or stenosis of intracranial large artery,http://id.who.int/icd/entity/608901546,http://id.who.int/icd/release/11/2022-02/mms/608901546
I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",8B11,Cerebral ischaemic stroke,http://id.who.int/icd/entity/636274910,http://id.who.int/icd/release/11/2022-02/mms/636274910
I63.8,Other cerebral infarction,8B11,Cerebral ischaemic stroke,http://id.who.int/icd/entity/636274910,http://id.who.int/icd/release/11/2022-02/mms/636274910
I63.9,"Cerebral infarction, unspecified",8B11,Cerebral ischaemic stroke,http://id.who.int/icd/entity/636274910,http://id.who.int/icd/release/11/2022-02/mms/636274910
I64,"Stroke, not specified as haemorrhage or infarction",8B20,Stroke not known if ischaemic or haemorrhagic,http://id.who.int/icd/entity/1442995018,http://id.who.int/icd/release/11/2022-02/mms/1442995018
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/860460764,http://id.who.int/icd/release/11/2022-02/mms/860460764
I65.0,Occlusion and stenosis of vertebral artery,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/1769300228,http://id.who.int/icd/release/11/2022-02/mms/860460764
I65.1,Occlusion and stenosis of basilar artery,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/205434006,http://id.who.int/icd/release/11/2022-02/mms/860460764
I65.2,Occlusion and stenosis of carotid artery,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/2022964329,http://id.who.int/icd/release/11/2022-02/mms/860460764
I65.3,Occlusion and stenosis of multiple and bilateral precerebral arteries,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/860460764,http://id.who.int/icd/release/11/2022-02/mms/860460764
I65.8,Occlusion and stenosis of other precerebral artery,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/1743972310,http://id.who.int/icd/release/11/2022-02/mms/860460764
I65.9,Occlusion and stenosis of unspecified precerebral artery,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/860460764,http://id.who.int/icd/release/11/2022-02/mms/860460764
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",8B2Z,"Cerebrovascular diseases, unspecified",http://id.who.int/icd/entity/843843448,http://id.who.int/icd/release/11/2022-02/mms/843843448/unspecified
I66.0,Occlusion and stenosis of middle cerebral artery,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/1760739644,http://id.who.int/icd/release/11/2022-02/mms/860460764
I66.1,Occlusion and stenosis of anterior cerebral artery,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/230231210,http://id.who.int/icd/release/11/2022-02/mms/860460764
I66.2,Occlusion and stenosis of posterior cerebral artery,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/2031377495,http://id.who.int/icd/release/11/2022-02/mms/860460764
I66.3,Occlusion and stenosis of cerebellar arteries,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/860460764,http://id.who.int/icd/release/11/2022-02/mms/860460764
I66.4,Occlusion and stenosis of multiple and bilateral cerebral arteries,8B2Z,"Cerebrovascular diseases, unspecified",http://id.who.int/icd/entity/843843448,http://id.who.int/icd/release/11/2022-02/mms/843843448/unspecified
I66.8,Occlusion and stenosis of other cerebral artery,8B2Z,"Cerebrovascular diseases, unspecified",http://id.who.int/icd/entity/843843448,http://id.who.int/icd/release/11/2022-02/mms/843843448/unspecified
I66.9,Occlusion and stenosis of unspecified cerebral artery,8B2Z,"Cerebrovascular diseases, unspecified",http://id.who.int/icd/entity/843843448,http://id.who.int/icd/release/11/2022-02/mms/843843448/unspecified
I67,Other cerebrovascular diseases,8B22,Certain specified cerebrovascular diseases,http://id.who.int/icd/entity/581897143,http://id.who.int/icd/release/11/2022-02/mms/581897143
I67.0,"Dissection of cerebral arteries, nonruptured",8B22.0,Dissection of cerebral arteries,http://id.who.int/icd/entity/1946814909,http://id.who.int/icd/release/11/2022-02/mms/1946814909
I67.1,"Cerebral aneurysm, nonruptured",8B22.5,"Cerebral aneurysm, nonruptured",http://id.who.int/icd/entity/289522729,http://id.who.int/icd/release/11/2022-02/mms/289522729
I67.2,Cerebral atherosclerosis,BD55,Asymptomatic stenosis of intracranial or extracranial artery,http://id.who.int/icd/entity/1710003414,http://id.who.int/icd/release/11/2022-02/mms/860460764
I67.3,Progressive vascular leukoencephalopathy,8B22,Certain specified cerebrovascular diseases,http://id.who.int/icd/entity/10967364,http://id.who.int/icd/release/11/2022-02/mms/581897143
I67.4,Hypertensive encephalopathy,8B22.8,Hypertensive encephalopathy,http://id.who.int/icd/entity/1934215896,http://id.who.int/icd/release/11/2022-02/mms/1934215896
I67.5,Moyamoya disease,8B22.B,Moyamoya syndrome,http://id.who.int/icd/entity/369231682,http://id.who.int/icd/release/11/2022-02/mms/1746892088
I67.6,Nonpyogenic thrombosis of intracranial venous system,8B22.1,Cerebral venous thrombosis,http://id.who.int/icd/entity/1655658429,http://id.who.int/icd/release/11/2022-02/mms/1655658429
I67.7,"Cerebral arteritis, not elsewhere classified",8B22,Certain specified cerebrovascular diseases,http://id.who.int/icd/entity/581897143,http://id.who.int/icd/release/11/2022-02/mms/581897143
I67.8,Other specified cerebrovascular diseases,8B22,Certain specified cerebrovascular diseases,http://id.who.int/icd/entity/581897143,http://id.who.int/icd/release/11/2022-02/mms/581897143
I67.9,"Cerebrovascular disease, unspecified",8B2Z,"Cerebrovascular diseases, unspecified",http://id.who.int/icd/entity/843843448,http://id.who.int/icd/release/11/2022-02/mms/843843448/unspecified
I68,Cerebrovascular disorders in diseases classified elsewhere,8B23,Cerebrovascular abnormalities,http://id.who.int/icd/entity/1606819573,http://id.who.int/icd/release/11/2022-02/mms/1606819573
I68.0,Cerebral amyloid angiopathy,8B23,Cerebrovascular abnormalities,http://id.who.int/icd/entity/1606819573,http://id.who.int/icd/release/11/2022-02/mms/1606819573
I68.1,Cerebral arteritis in infectious and parasitic diseases classified elsewhere,8B22.7Z,"Cerebral arteritis, not elsewhere classified, unspecified",http://id.who.int/icd/entity/1606752149,http://id.who.int/icd/release/11/2022-02/mms/132422185/unspecified
I68.2,Cerebral arteritis in other diseases classified elsewhere,8B23,Cerebrovascular abnormalities,http://id.who.int/icd/entity/728254316,http://id.who.int/icd/release/11/2022-02/mms/1606819573
I68.8,Other cerebrovascular disorders in diseases classified elsewhere,8B23,Cerebrovascular abnormalities,http://id.who.int/icd/entity/873028823,http://id.who.int/icd/release/11/2022-02/mms/1606819573
I69,Sequelae of cerebrovascular disease,8B25.Z,"Late effects of cerebrovascular disease, unspecified",http://id.who.int/icd/entity/982373217,http://id.who.int/icd/release/11/2022-02/mms/982373217/unspecified
I69.0,Sequelae of subarachnoid haemorrhage,8B25.2,Late effects of subarachnoid haemorrhage,http://id.who.int/icd/entity/645272194,http://id.who.int/icd/release/11/2022-02/mms/645272194
I69.1,Sequelae of intracerebral haemorrhage,8B25.1,Late effects of intracerebral haemorrhage,http://id.who.int/icd/entity/1128128276,http://id.who.int/icd/release/11/2022-02/mms/1128128276
I69.2,Sequelae of other nontraumatic intracranial haemorrhage,8B25.3,Late effects of other nontraumatic intracranial haemorrhage,http://id.who.int/icd/entity/932220907,http://id.who.int/icd/release/11/2022-02/mms/932220907
I69.3,Sequelae of cerebral infarction,8B25.0,Late effects of cerebral ischemic stroke,http://id.who.int/icd/entity/1390101119,http://id.who.int/icd/release/11/2022-02/mms/1390101119
I69.4,"Sequelae of stroke, not specified as haemorrhage or infarction",8B25.4,Late effects of stroke not known if ischaemic or haemorrhagic,http://id.who.int/icd/entity/557175275,http://id.who.int/icd/release/11/2022-02/mms/557175275
I69.8,Sequelae of other and unspecified cerebrovascular diseases,8B25.Z,"Late effects of cerebrovascular disease, unspecified",http://id.who.int/icd/entity/982373217,http://id.who.int/icd/release/11/2022-02/mms/982373217/unspecified
I70-I79,"Diseases of arteries, arterioles and capillaries",BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I70,Atherosclerosis,BD40.Z,"Atherosclerotic chronic arterial occlusive disease, unspecified",http://id.who.int/icd/entity/109367356,http://id.who.int/icd/release/11/2022-02/mms/109367356/unspecified
I70.0,Atherosclerosis of aorta,BD40.1,Atherosclerosis of aorta,http://id.who.int/icd/entity/1600740300,http://id.who.int/icd/release/11/2022-02/mms/1600740300
I70.1,Atherosclerosis of renal artery,BD40.2,Atherosclerosis of renal artery,http://id.who.int/icd/entity/975345242,http://id.who.int/icd/release/11/2022-02/mms/975345242
I70.2,Atherosclerosis of arteries of extremities,BD40.Z,"Atherosclerotic chronic arterial occlusive disease, unspecified",http://id.who.int/icd/entity/109367356,http://id.who.int/icd/release/11/2022-02/mms/109367356/unspecified
I70.8,Atherosclerosis of other arteries,BD40.Z,"Atherosclerotic chronic arterial occlusive disease, unspecified",http://id.who.int/icd/entity/1374608666,http://id.who.int/icd/release/11/2022-02/mms/109367356/unspecified
I70.9,Generalized and unspecified atherosclerosis,BD40.Z,"Atherosclerotic chronic arterial occlusive disease, unspecified",http://id.who.int/icd/entity/109367356,http://id.who.int/icd/release/11/2022-02/mms/109367356/unspecified
I71,Aortic aneurysm and dissection,BD50.Z,"Aortic aneurysm or dissection, unspecified",http://id.who.int/icd/entity/1674517934,http://id.who.int/icd/release/11/2022-02/mms/1674517934/unspecified
I71.0,Dissection of aorta [any part],BD50.Z,"Aortic aneurysm or dissection, unspecified",http://id.who.int/icd/entity/1674517934,http://id.who.int/icd/release/11/2022-02/mms/1674517934/unspecified
I71.1,"Thoracic aortic aneurysm, ruptured",BD50.31,Thoracic aortic aneurysm with rupture,http://id.who.int/icd/entity/1238851281,http://id.who.int/icd/release/11/2022-02/mms/1238851281
I71.2,"Thoracic aortic aneurysm, without mention of rupture",BD50.32,Thoracic aortic aneurysm without mention of perforation or rupture,http://id.who.int/icd/entity/1999731865,http://id.who.int/icd/release/11/2022-02/mms/1999731865
I71.3,"Abdominal aortic aneurysm, ruptured",BD50.41,Abdominal aortic aneurysm with rupture,http://id.who.int/icd/entity/926729140,http://id.who.int/icd/release/11/2022-02/mms/926729140
I71.4,"Abdominal aortic aneurysm, without mention of rupture",BD50.4Z,"Abdominal aortic aneurysm, unspecified",http://id.who.int/icd/entity/1154633768,http://id.who.int/icd/release/11/2022-02/mms/1154633768/unspecified
I71.5,"Thoracoabdominal aortic aneurysm, ruptured",BD50.51,Thoracoabdominal aortic aneurysm with rupture,http://id.who.int/icd/entity/563715506,http://id.who.int/icd/release/11/2022-02/mms/563715506
I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",BD50.52,Thoracoabdominal aortic aneurysm without mention of perforation or rupture,http://id.who.int/icd/entity/1481371391,http://id.who.int/icd/release/11/2022-02/mms/1481371391
I71.8,"Aortic aneurysm of unspecified site, ruptured",BD50.Z,"Aortic aneurysm or dissection, unspecified",http://id.who.int/icd/entity/1674517934,http://id.who.int/icd/release/11/2022-02/mms/1674517934/unspecified
I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",BD50.Z,"Aortic aneurysm or dissection, unspecified",http://id.who.int/icd/entity/1674517934,http://id.who.int/icd/release/11/2022-02/mms/1674517934/unspecified
I72,Other aneurysm and dissection,BD51.Z,Aneurysm and dissection of unspecified artery,http://id.who.int/icd/entity/392318289,http://id.who.int/icd/release/11/2022-02/mms/392318289/unspecified
I72.0,Aneurysm and dissection of carotid artery,BD51.0,Aneurysm or dissection of carotid artery,http://id.who.int/icd/entity/1108751219,http://id.who.int/icd/release/11/2022-02/mms/1108751219
I72.1,Aneurysm and dissection of artery of upper extremity,BD51.3,Aneurysm or dissection of artery of upper extremity,http://id.who.int/icd/entity/660471527,http://id.who.int/icd/release/11/2022-02/mms/660471527
I72.2,Aneurysm and dissection of renal artery,BD51.4,Aneurysm or dissection of renal artery,http://id.who.int/icd/entity/1408282138,http://id.who.int/icd/release/11/2022-02/mms/1408282138
I72.3,Aneurysm and dissection of iliac artery,BD51.5,Aneurysm or dissection of iliac artery,http://id.who.int/icd/entity/918250380,http://id.who.int/icd/release/11/2022-02/mms/918250380
I72.4,Aneurysm and dissection of artery of lower extremity,BD51.6,Aneurysm or dissection of artery of lower extremity,http://id.who.int/icd/entity/1163259928,http://id.who.int/icd/release/11/2022-02/mms/1163259928
I72.5,Aneurysm and dissection of other precerebral arteries,BD51.2,Aneurysm or dissection of other precerebral arteries,http://id.who.int/icd/entity/1881176915,http://id.who.int/icd/release/11/2022-02/mms/1881176915
I72.6,Aneurysm and dissection of vertebral artery,BD51.1,Aneurysm or dissection of vertebral artery,http://id.who.int/icd/entity/1866555632,http://id.who.int/icd/release/11/2022-02/mms/1866555632
I72.8,Aneurysm and dissection of other specified arteries,BD51.Z,Aneurysm and dissection of unspecified artery,http://id.who.int/icd/entity/392318289,http://id.who.int/icd/release/11/2022-02/mms/392318289/unspecified
I72.9,Aneurysm and dissection of unspecified site,BD51.Z,Aneurysm and dissection of unspecified artery,http://id.who.int/icd/entity/392318289,http://id.who.int/icd/release/11/2022-02/mms/392318289/unspecified
I73,Other peripheral vascular diseases,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I73.0,Raynaud syndrome,BD42.Z,"Raynaud phenomenon, unspecified",http://id.who.int/icd/entity/2038606821,http://id.who.int/icd/release/11/2022-02/mms/2038606821/unspecified
I73.1,Thromboangiitis obliterans [Buerger],4A44.8,Thromboangiitis obliterans,http://id.who.int/icd/entity/1000683110,http://id.who.int/icd/release/11/2022-02/mms/1000683110
I73.8,Other specified peripheral vascular diseases,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I73.9,"Peripheral vascular disease, unspecified",BD4Z,"Chronic arterial occlusive disease, unspecified",http://id.who.int/icd/entity/1821859817,http://id.who.int/icd/release/11/2022-02/mms/1821859817/unspecified
I74,Arterial embolism and thrombosis,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I74.0,Embolism and thrombosis of abdominal aorta,BD30.10,Acute thromboembolic aortoiliac occlusion,http://id.who.int/icd/entity/1704430258,http://id.who.int/icd/release/11/2022-02/mms/1704430258
I74.1,Embolism and thrombosis of other and unspecified parts of aorta,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I74.2,Embolism and thrombosis of arteries of upper extremities,BD30.00,Acute thromboembolic upper limb arterial occlusion,http://id.who.int/icd/entity/1953568729,http://id.who.int/icd/release/11/2022-02/mms/1953568729
I74.3,Embolism and thrombosis of arteries of lower extremities,BD30.20,Acute thromboembolic lower limb arterial occlusion,http://id.who.int/icd/entity/289069645,http://id.who.int/icd/release/11/2022-02/mms/289069645
I74.4,"Embolism and thrombosis of arteries of extremities, unspecified",BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I74.5,Embolism and thrombosis of iliac artery,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I74.8,Embolism and thrombosis of other arteries,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I74.9,Embolism and thrombosis of unspecified artery,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I77,Other disorders of arteries and arterioles,BD52,Certain specified disorders of arteries or arterioles,http://id.who.int/icd/entity/1969898416,http://id.who.int/icd/release/11/2022-02/mms/1969898416
I77.0,"Arteriovenous fistula, acquired",BD52.1,"Arteriovenous fistula, acquired",http://id.who.int/icd/entity/1678781070,http://id.who.int/icd/release/11/2022-02/mms/1678781070
I77.1,Stricture of artery,BD52.2,Stricture of artery,http://id.who.int/icd/entity/22800152,http://id.who.int/icd/release/11/2022-02/mms/22800152
I77.2,Rupture of artery,BD52.3,Rupture of artery,http://id.who.int/icd/entity/1979103207,http://id.who.int/icd/release/11/2022-02/mms/1979103207
I77.3,Arterial fibromuscular dysplasia,BD41.0,Arterial fibromuscular dysplasia,http://id.who.int/icd/entity/280853107,http://id.who.int/icd/release/11/2022-02/mms/280853107
I77.4,Coeliac artery compression syndrome,BD52.5,Coeliac artery compression syndrome,http://id.who.int/icd/entity/1666443751,http://id.who.int/icd/release/11/2022-02/mms/1666443751
I77.5,Necrosis of artery,BD52.4,Necrosis of artery,http://id.who.int/icd/entity/102245491,http://id.who.int/icd/release/11/2022-02/mms/102245491
I77.6,"Arteritis, unspecified",4A44.Z,"Vasculitis, unspecified",http://id.who.int/icd/entity/108520092,http://id.who.int/icd/release/11/2022-02/mms/572581721/unspecified
I77.8,Other specified disorders of arteries and arterioles,BD52,Certain specified disorders of arteries or arterioles,http://id.who.int/icd/entity/1969898416,http://id.who.int/icd/release/11/2022-02/mms/1969898416
I77.9,"Disorder of arteries and arterioles, unspecified",BD52,Certain specified disorders of arteries or arterioles,http://id.who.int/icd/entity/1969898416,http://id.who.int/icd/release/11/2022-02/mms/1969898416
I78,Diseases of capillaries,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I78.0,Hereditary haemorrhagic telangiectasia,LA90.00,Hereditary haemorrhagic telangiectasia,http://id.who.int/icd/entity/714406192,http://id.who.int/icd/release/11/2022-02/mms/714406192
I78.1,"Naevus, non-neoplastic",BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I78.8,Other diseases of capillaries,BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I78.9,"Disease of capillaries, unspecified",BD5Z,"Diseases of arteries or arterioles, unspecified",http://id.who.int/icd/entity/1164983645,http://id.who.int/icd/release/11/2022-02/mms/1164983645/unspecified
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",BD53.Z,"Secondary disorders of arteries and arterioles, unspecified",http://id.who.int/icd/entity/1833474936,http://id.who.int/icd/release/11/2022-02/mms/1833474936/unspecified
I79.0,Aneurysm of aorta in diseases classified elsewhere,BD53.Z,"Secondary disorders of arteries and arterioles, unspecified",http://id.who.int/icd/entity/913060273,http://id.who.int/icd/release/11/2022-02/mms/1833474936/unspecified
I79.1,Aortitis in diseases classified elsewhere,BD53.Z,"Secondary disorders of arteries and arterioles, unspecified",http://id.who.int/icd/entity/1395129381,http://id.who.int/icd/release/11/2022-02/mms/1833474936/unspecified
I79.2,Peripheral angiopathy in diseases classified elsewhere,BD53.Z,"Secondary disorders of arteries and arterioles, unspecified",http://id.who.int/icd/entity/663399642,http://id.who.int/icd/release/11/2022-02/mms/1833474936/unspecified
I79.8,"Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere",BD53.Z,"Secondary disorders of arteries and arterioles, unspecified",http://id.who.int/icd/entity/1833474936,http://id.who.int/icd/release/11/2022-02/mms/1833474936/unspecified
I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",BD7Z,"Diseases of veins, unspecified",http://id.who.int/icd/entity/723430526,http://id.who.int/icd/release/11/2022-02/mms/723430526/unspecified
I80,Phlebitis and thrombophlebitis,BD7Z,"Diseases of veins, unspecified",http://id.who.int/icd/entity/723430526,http://id.who.int/icd/release/11/2022-02/mms/723430526/unspecified
I80.0,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,BD70.0,Superficial thrombophlebitis of lower limbs,http://id.who.int/icd/entity/1342264365,http://id.who.int/icd/release/11/2022-02/mms/1342264365
I80.1,Phlebitis and thrombophlebitis of femoral vein,BD70.0,Superficial thrombophlebitis of lower limbs,http://id.who.int/icd/entity/1342264365,http://id.who.int/icd/release/11/2022-02/mms/1342264365
